,points,price,word_count,age
1,87,15.0,39,7.0
2,87,14.0,28,5.0
3,87,13.0,33,5.0
4,87,65.0,41,6.0
5,87,15.0,42,7.0
6,87,16.0,31,5.0
7,87,24.0,21,6.0
8,87,12.0,24,5.0
9,87,27.0,30,6.0
10,87,19.0,36,7.0
11,87,30.0,32,6.0
12,87,34.0,28,6.0
14,87,12.0,48,6.0
15,87,24.0,29,5.0
16,87,30.0,47,8.0
17,87,13.0,40,7.0
18,87,28.0,43,8.0
19,87,32.0,55,6.0
20,87,23.0,36,6.0
21,87,20.0,43,5.0
22,87,19.0,24,11.0
23,87,22.0,45,7.0
24,87,35.0,30,9.0
25,87,69.0,38,7.0
26,87,13.0,29,5.0
27,87,10.0,30,5.0
28,87,17.0,24,7.0
29,86,16.0,50,8.0
33,86,50.0,19,8.0
34,86,20.0,35,7.0
35,86,50.0,41,8.0
36,86,15.0,51,7.0
37,86,21.0,25,8.0
38,86,11.0,24,7.0
39,86,12.0,43,7.0
40,86,17.0,24,7.0
41,86,22.0,28,9.0
42,86,9.0,16,6.0
43,86,14.0,42,7.0
44,86,9.0,26,7.0
45,86,40.0,47,8.0
46,86,13.0,25,7.0
47,86,13.0,19,7.0
48,86,16.0,50,7.0
49,86,14.0,31,7.0
51,85,22.0,55,10.0
52,85,14.0,35,8.0
53,85,15.0,32,7.0
55,85,30.0,31,8.0
56,85,14.0,25,8.0
57,85,13.0,36,7.0
58,85,13.0,34,7.0
59,86,55.0,28,4.0
60,86,100.0,28,5.0
61,86,17.0,33,3.0
62,86,25.0,32,4.0
64,86,26.0,34,3.0
65,86,24.0,34,3.0
66,86,15.0,25,3.0
67,86,46.0,31,5.0
68,86,12.0,40,4.0
70,86,12.0,23,4.0
71,86,40.0,30,5.0
72,86,32.0,35,5.0
73,86,75.0,40,5.0
74,86,55.0,25,6.0
75,86,75.0,29,5.0
76,86,9.0,30,3.0
77,86,18.0,30,2.0
78,86,25.0,48,3.0
80,86,12.0,39,4.0
81,86,16.0,52,4.0
82,86,11.0,32,2.0
83,86,20.0,35,2.0
84,86,24.0,28,4.0
85,86,10.0,28,3.0
86,86,20.0,20,2.0
87,86,55.0,20,4.0
88,86,29.0,37,4.0
89,88,19.0,45,3.0
90,88,23.0,37,4.0
91,88,18.0,36,3.0
92,88,55.0,41,5.0
93,88,12.0,30,3.0
94,88,22.0,36,4.0
95,88,20.0,34,3.0
96,88,18.0,38,3.0
97,88,20.0,53,3.0
98,88,30.0,47,8.0
99,88,75.0,39,5.0
100,88,18.0,42,3.0
101,87,20.0,39,4.0
102,87,20.0,33,4.0
103,87,18.0,45,3.0
104,87,16.0,30,4.0
105,87,14.0,38,3.0
106,87,30.0,44,4.0
107,87,18.0,34,3.0
108,87,26.0,53,4.0
109,87,30.0,42,4.0
110,87,23.0,40,3.0
111,87,85.0,33,5.0
112,87,15.0,33,4.0
113,87,19.0,37,3.0
114,87,18.0,33,6.0
115,87,18.0,46,5.0
116,87,25.0,45,5.0
117,87,44.0,51,4.0
118,87,80.0,35,5.0
119,92,80.0,60,14.0
120,92,70.0,59,15.0
121,92,36.0,56,11.0
122,92,39.0,55,11.0
123,92,40.0,36,12.0
124,92,45.0,50,12.0
125,91,45.0,54,15.0
126,91,48.0,58,11.0
127,91,13.0,51,10.0
128,91,17.0,50,10.0
129,91,25.0,50,14.0
130,91,70.0,64,15.0
131,91,20.0,53,10.0
132,91,30.0,44,17.0
133,91,68.0,57,15.0
134,91,78.0,42,11.0
135,91,60.0,56,17.0
136,91,50.0,54,15.0
138,90,10.0,43,10.0
139,90,112.0,53,11.0
140,90,26.0,43,13.0
141,90,45.0,48,15.0
142,90,17.0,51,11.0
143,90,84.0,66,11.0
144,91,85.0,37,5.0
145,91,64.0,43,5.0
146,91,68.0,51,8.0
147,91,68.0,55,6.0
148,91,16.0,40,4.0
149,91,35.0,46,5.0
150,91,25.0,36,5.0
151,91,30.0,58,4.0
152,91,55.0,56,6.0
153,91,46.0,57,6.0
154,91,50.0,50,8.0
155,91,36.0,55,5.0
156,91,14.0,44,4.0
157,91,26.0,53,5.0
158,91,38.0,39,6.0
160,91,35.0,58,6.0
161,91,35.0,46,5.0
162,91,28.0,62,4.0
164,91,29.0,55,6.0
165,91,32.0,50,6.0
166,91,25.0,46,5.0
167,91,28.0,55,5.0
168,91,95.0,47,6.0
169,91,44.0,49,4.0
170,91,30.0,36,4.0
171,91,22.0,40,4.0
172,91,20.0,48,6.0
173,91,38.0,34,4.0
174,88,19.0,45,10.0
175,88,25.0,35,11.0
176,88,50.0,73,12.0
177,88,22.0,49,13.0
178,88,25.0,45,13.0
179,88,27.0,52,12.0
180,88,23.0,31,12.0
181,88,36.0,36,12.0
183,88,12.0,55,11.0
184,88,35.0,36,11.0
185,88,15.0,65,11.0
186,88,40.0,35,12.0
187,88,48.0,44,15.0
188,88,11.0,59,11.0
189,87,11.0,51,10.0
190,87,26.0,39,11.0
191,87,30.0,44,12.0
192,87,20.0,38,15.0
193,87,35.0,39,12.0
195,87,35.0,45,15.0
196,87,18.0,37,11.0
197,90,23.0,56,4.0
198,90,60.0,32,5.0
199,90,28.0,41,4.0
201,90,62.0,39,4.0
202,90,50.0,46,7.0
203,90,28.0,39,6.0
204,90,30.0,49,4.0
